Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Paraguay,Americas,570469,7998.121,37821,530.26,5101,17231,241.583,278,3.898,19
Dominican Republic,Americas,554052,5107.454,14472,133.408,1221,4305,39.685,18,0.166,4
Kuwait,Eastern Mediterranean,539654,12636.577,42200,988.158,5592,2496,58.447,10,0.234,2
Myanmar,South-East Asia,535254,983.746,1091,2.005,0,19310,35.49,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,524716,10285.697,39737,778.941,8657,5098,99.933,42,0.823,11
Finland,Europe,489870,8865.957,35325,639.333,2151,1990,36.016,5,0.09,0
Venezuela (Bolivarian Republic of),Americas,481375,1692.84,13511,47.514,2364,5436,19.117,34,0.12,6
Ethiopia,Africa,464930,404.415,2823,2.456,176,7331,6.377,87,0.076,4
Puerto Rico,Americas,456623,15961.079,14543,508.345,1615,3854,134.715,158,5.523,17
Mongolia,Western Pacific,443410,13525.649,15042,458.837,1206,2036,62.106,15,0.458,5
Republic of Moldova,Europe,440698,10924.691,31301,775.937,2449,10642,263.81,120,2.975,7
Libya,Eastern Mediterranean,425237,6188.603,19812,288.33,5694,6007,87.422,86,1.252,14
Egypt,Eastern Mediterranean,423688,414.023,13590,13.28,2210,22604,22.088,236,0.231,38
Honduras,Americas,391874,3956.482,3438,34.711,0,10504,106.052,35,0.353,0
Latvia,Europe,388989,20390.737,53448,2801.735,6860,4868,255.18,73,3.827,6
Bahrain,Eastern Mediterranean,368767,21672.098,38146,2241.805,6745,1407,82.688,8,0.47,3
Armenia,Europe,367795,12411.946,15396,519.567,1362,8053,271.764,25,0.844,7
Singapore,Western Pacific,348330,5954.011,34558,590.701,4498,854,14.597,6,0.103,0
Bosnia and Herzegovina,Europe,346651,10566.003,13520,412.093,639,14369,437.97,343,10.455,24
Qatar,Eastern Mediterranean,337638,11719.257,14293,496.103,1557,645,22.388,11,0.382,0
Estonia,Europe,337543,25398.728,41077,3090.876,4963,2033,152.975,25,1.881,1
Oman,Eastern Mediterranean,336460,6588.695,14022,274.584,5693,4143,81.13,15,0.294,9
Kenya,Africa,321335,597.596,1106,2.057,101,5580,10.377,26,0.048,2
Zambia,Africa,304922,1658.631,3292,17.907,266,3915,21.296,20,0.109,1
North Macedonia,Europe,268191,12872.88,11919,572.099,1254,8383,402.375,152,7.296,21
Albania,Europe,258021,8965.911,9951,345.785,939,3342,116.13,37,1.286,5
Cyprus,Europe,253350,28530.245,17392,1958.548,2225,731,82.319,19,2.14,1
Nigeria,Africa,253023,122.744,836,0.406,3,3135,1.521,11,0.005,0
Algeria,Africa,250774,571.877,14104,32.163,1464,6566,14.973,71,0.162,11
Botswana,Africa,250746,10662.66,6800,289.162,0,2580,109.711,36,1.531,0
Zimbabwe,Africa,229460,1543.842,1206,8.114,45,5337,35.908,43,0.289,4
Mozambique,Africa,223811,716.071,1215,3.887,73,2170,6.943,13,0.042,3
Uzbekistan,Europe,223008,666.308,7945,23.738,1089,1564,4.673,22,0.066,3
Montenegro,Europe,219298,34916.617,6090,969.649,658,2552,406.329,45,7.165,6
Kosovo[1],Europe,204302,11377.506,22899,1275.237,2390,3002,167.18,14,0.78,0
Kyrgyzstan,Europe,198316,3039.703,2496,38.258,205,2880,44.143,29,0.444,4
Réunion,Africa,180531,20164.032,46914,5239.961,0,500,55.846,38,4.244,0
Afghanistan,Eastern Mediterranean,162140,416.509,2458,6.314,474,7409,19.032,16,0.041,2
Uganda,Africa,161839,353.816,1420,3.104,269,3533,7.724,54,0.118,5
Ghana,Africa,156805,504.635,1309,4.213,115,1393,4.483,26,0.084,2
Namibia,Africa,155722,6128.604,695,27.352,0,3962,155.929,60,2.361,0
Luxembourg,Europe,153435,24506.155,10597,1692.52,0,948,151.412,4,0.639,0
China,Western Pacific,138992,9.447,1642,0.112,193,5700,0.387,0,0,0
Maldives,South-East Asia,136126,25183.149,15958,2952.211,0,275,50.875,5,0.925,0
El Salvador,Americas,134155,2068.313,7143,110.126,893,3891,59.989,36,0.555,7
Lao People's Democratic Republic,Western Pacific,133524,1835.24,3571,49.082,306,544,7.477,18,0.247,6
Rwanda,Africa,128841,994.741,832,6.424,39,1438,11.102,6,0.046,0
Jamaica,Americas,124102,4190.983,4537,153.217,1055,2650,89.492,56,1.891,15
Cambodia,Western Pacific,121299,725.517,273,1.633,57,3015,18.033,0,0,0
Cameroon,Africa,116718,439.684,2605,9.813,0,1880,7.082,13,0.049,0
Trinidad and Tobago,Americas,111190,7945.048,5221,373.065,449,3395,242.589,109,7.789,14
Angola,Africa,98076,298.409,1494,4.546,19,1895,5.766,7,0.021,1
Guadeloupe,Americas,90749,22680.219,0,0,0,844,210.935,0,0,0
Martinique,Americas,87634,23352.564,10559,2813.745,0,832,221.71,11,2.931,0
Democratic Republic of the Congo,Africa,85379,95.33,860,0.96,95,1278,1.427,0,0,0
Senegal,Africa,84936,507.265,641,3.828,80,1944,11.61,19,0.113,3
Malawi,Africa,84420,441.298,597,3.121,31,2558,13.372,35,0.183,1
Côte d’Ivoire,Africa,80695,305.915,519,1.968,72,785,2.976,6,0.023,1
French Guiana,Americas,75242,25191.341,2423,811.231,0,371,124.212,12,4.018,0
Suriname,Americas,73162,12471.532,3421,583.159,219,1260,214.785,23,3.921,3
Mauritius,Africa,70862,5571.928,644,50.638,0,786,61.804,0,0,0
Eswatini,Africa,68342,5890.719,261,22.497,13,1375,118.518,6,0.517,1
Malta,Europe,67545,13126.647,1679,326.296,191,547,106.304,15,2.915,2
Iceland,Europe,64486,17709.415,6077,1668.891,0,46,12.633,2,0.549,0
Fiji,Western Pacific,62373,6957.817,1392,155.28,0,798,89.018,30,3.347,0
Guyana,Americas,59450,7558.305,2865,364.248,471,1165,148.115,35,4.45,5
Madagascar,Africa,59319,214.217,1944,7.02,0,1274,4.601,51,0.184,0
Mauritania,Africa,58198,1251.662,814,17.507,69,953,20.496,26,0.559,4
Sudan,Eastern Mediterranean,57632,131.432,1799,4.103,1,3441,7.847,30,0.068,1
Cabo Verde,Africa,55677,10014.083,371,66.728,19,395,71.045,6,1.079,0
Syrian Arab Republic,Eastern Mediterranean,51341,293.366,356,2.034,57,2986,17.062,18,0.103,2
Belize,Americas,50487,12697.043,4734,1190.56,0,625,157.182,9,2.263,0
French Polynesia,Western Pacific,48266,17182.138,610,217.153,0,636,226.409,0,0,0
Gabon,Africa,46722,2099.173,813,36.527,0,301,13.524,1,0.045,0
Barbados,Americas,42122,14657.503,3536,1230.448,0,277,96.39,3,1.044,0
Burundi,Africa,37432,314.798,390,3.28,53,15,0.126,1,0.008,1
Seychelles,Africa,37023,37645.276,1845,1876.01,460,142,144.387,6,6.101,6
Papua New Guinea,Western Pacific,36866,412.048,318,3.554,0,597,6.673,0,0,0
Curaçao,Americas,36722,22378.773,1415,862.316,0,225,137.117,15,9.141,0
Togo,Africa,36491,440.78,178,2.15,4,268,3.237,2,0.024,0
Mayotte,Africa,36282,13299.122,316,115.829,0,187,68.545,0,0,0
Guinea,Africa,36012,274.214,155,1.18,0,416,3.168,2,0.015,0
Andorra,Europe,35556,46018.249,2531,3275.739,0,145,187.666,1,1.294,0
United Republic of Tanzania,Africa,32920,55.111,527,0.882,0,778,1.302,25,0.042,0
Aruba,Americas,32718,30644.587,883,827.042,0,193,180.769,6,5.62,0
Bahamas,Americas,32282,8209.153,367,93.326,0,731,185.89,5,1.271,0
Lesotho,Africa,32176,1501.973,127,5.928,0,693,32.349,3,0.14,0
Mali,Africa,30046,148.369,368,1.817,37,711,3.511,6,0.03,0
Jersey,Europe,29880,27719.025,1766,1638.28,0,100,92.768,4,3.711,0
Haiti,Americas,29123,255.408,70,0.614,0,784,6.876,1,0.009,0
Benin,Africa,26450,218.177,141,1.163,0,163,1.345,0,0,0
Guam,Western Pacific,25617,15178.196,5050,2992.149,0,285,168.864,9,5.333,0
Somalia,Eastern Mediterranean,25388,159.741,1066,6.707,0,1335,8.4,0,0,0
Congo,Africa,23705,429.587,220,3.987,0,371,6.723,0,0,0
Isle of Man,Europe,21262,25004.704,609,716.201,63,71,83.498,1,1.176,0
Saint Lucia,Americas,20798,11326.221,1330,724.294,381,326,177.534,10,5.446,0
Burkina Faso,Africa,20624,98.664,110,0.526,13,366,1.751,13,0.062,0
Timor-Leste,South-East Asia,19946,1512.843,77,5.84,9,122,9.253,0,0,0
Faroe Islands,Europe,19099,39085.235,4759,9739.077,486,18,36.836,1,2.046,0
New Caledonia,Western Pacific,18779,6577.629,3448,1207.714,0,283,99.125,1,0.35,0
Tajikistan,Europe,17706,185.643,128,1.342,11,125,1.311,0,0,0
South Sudan,Africa,16794,150.03,83,0.741,6,137,1.224,0,0,0
Brunei Darussalam,Western Pacific,16413,3751.723,281,64.232,68,59,13.486,0,0,0
New Zealand,Western Pacific,16039,332.605,789,16.362,130,52,1.078,0,0,0
Equatorial Guinea,Africa,15802,1126.313,112,7.983,0,182,12.972,3,0.214,0
Djibouti,Eastern Mediterranean,15451,1563.866,140,14.17,11,189,19.13,0,0,0
United States Virgin Islands,Americas,14802,14174.767,404,386.881,0,99,94.805,3,2.873,0
Central African Republic,Africa,13919,288.192,410,8.489,0,110,2.278,1,0.021,0
Cayman Islands,Americas,13788,20979.915,54,82.167,0,15,22.824,0,0,0
Nicaragua,Americas,13681,206.52,35,0.528,0,220,3.321,1,0.015,0
Gibraltar,Europe,12848,38134.813,1013,3006.738,96,100,296.815,0,0,0
San Marino,Europe,12625,37200.189,852,2510.46,0,109,321.174,1,2.947,0
Grenada,Americas,12311,10940.874,1008,895.817,65,210,186.629,5,4.444,0
Gambia,Africa,11842,490.014,270,11.172,0,362,14.979,15,0.621,0
Guernsey,Europe,11067,17166.656,345,535.149,0,30,46.535,0,0,0
Yemen,Eastern Mediterranean,11019,36.944,434,1.455,21,2011,6.742,16,0.054,4
Greenland,Europe,10662,18780.385,1177,2073.205,35,5,8.807,1,1.761,0
Bermuda,Americas,10552,16944.743,786,1262.184,0,116,186.277,4,6.423,0
Eritrea,Africa,9525,268.581,228,6.429,17,98,2.763,5,0.141,1
Sint Maarten,Americas,9229,21521.851,264,615.643,0,79,184.226,2,4.664,0
Saint Martin,Americas,8913,23055.433,0,0,0,41,106.056,0,0,0
Dominica,Americas,8727,12122.349,210,291.703,0,51,70.842,2,2.778,0
Liechtenstein,Europe,8722,22510.13,494,1274.937,0,70,180.659,0,0,0
Niger,Africa,8649,35.73,105,0.434,1,298,1.231,2,0.008,0
Monaco,Europe,8308,21170.115,725,1847.416,45,47,119.764,2,5.096,1
Saint Vincent and the Grenadines,Americas,7903,7123.67,-1443,-1300.703,0,93,83.829,1,0.901,0
Comoros,Africa,7827,900.068,15,1.725,0,159,18.284,0,0,0
Sierra Leone,Africa,7608,95.374,18,0.226,0,125,1.567,0,0,0
Guinea-Bissau,Africa,7586,385.467,293,14.888,10,156,7.927,3,0.152,2
Liberia,Africa,7254,143.425,11,0.217,0,290,5.734,1,0.02,0
Chad,Africa,7075,43.072,186,1.132,0,190,1.157,5,0.03,0
Antigua and Barbuda,Americas,6558,6696.688,627,640.26,0,127,129.686,5,5.106,0
Bonaire,Americas,6326,30246.235,732,3499.88,0,26,124.313,0,0,0
Sao Tome and Principe,Africa,5885,2685.265,53,24.183,2,69,31.484,0,0,0
British Virgin Islands,Americas,5875,19429.838,226,747.429,0,49,162.053,2,6.614,0
Turks and Caicos Islands,Americas,5727,14791.57,157,405.496,35,34,87.814,1,2.583,0
Saint Kitts and Nevis,Americas,5419,10187.622,165,310.197,16,33,62.039,5,9.4,0
Bhutan,South-East Asia,4891,633.871,1080,139.967,206,4,0.518,1,0.13,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,4864,8450.753,618,1073.718,92,23,39.96,1,1.737,0
Saint Barthélemy,Americas,3218,32554.375,0,0,0,4,40.465,0,0,0
Anguilla,Americas,2324,15491.268,137,913.212,0,8,53.326,1,6.666,0
Palau,Western Pacific,1527,8440.195,1025,5665.488,123,0,0,0,0,0
Solomon Islands,Western Pacific,1183,172.227,894,130.153,285,9,1.31,9,1.31,4
Other,Other,764,,0,,0,13,,0,,0
Saint Pierre and Miquelon,Americas,628,10836.928,190,3278.689,0,0,0,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Kiribati,Western Pacific,364,304.733,305,255.339,183,0,0,0,0,0
Sint Eustatius,Americas,325,10353.616,45,1433.578,0,1,31.857,0,0,0
Saba,Americas,199,10294.878,1,51.733,0,0,0,0,0,0
Montserrat,Americas,163,3260.652,8,160.032,1,1,20.004,0,0,0
Falkland Islands (Malvinas),Americas,89,2555.268,3,86.133,0,0,0,0,0,0
Samoa,Western Pacific,32,16.128,15,7.56,3,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,18,32.61,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
